model,top_k,gold_standard_path,filename,timestamp,total_questions,evaluation_timestamp,semantic_sim_mean,semantic_sim_median,semantic_sim_std,semantic_sim_min,semantic_sim_max,bleu_mean,bleu_median,bleu_std,tfidf_mean,tfidf_median,tfidf_std,response_time_mean,response_time_median,response_time_std,length_ratio_mean,length_ratio_median,composite_score
InternVL3-2B-Instruct-Q5_K_M,5,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk5_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-26T22:36:31.737872,0.8284852206707001,0.8344400227069855,0.08772453478234514,0.6563611030578613,0.9848254919052124,0.07835053227371945,0.07593931592619413,0.040282925019209284,0.5537954440341659,0.5158787503332047,0.09821753756424416,2.2147935152053835,1.7122802734375,1.3460309286709158,1.2095513891029401,1.0881948868610294,0.5210378811606456
InternVL3-2B-Instruct-Q5_K_M,10,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk10_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-26T23:15:22.756471,0.8440039694309235,0.8527452647686005,0.06265938780767832,0.7062565088272095,0.9117621183395386,0.05765381370903262,0.054697961172164564,0.0427633034841433,0.5767218132549624,0.5938214776544287,0.10994810745990251,2.3743144512176513,1.5422778129577637,1.7059228287223696,1.05598123030348,0.5017547658913418,0.5279142758615679
InternVL3-2B-Instruct-Q5_K_M,15,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk15_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-26T23:49:16.823884,0.8497276306152344,0.8809037208557129,0.08180966519539921,0.672152578830719,0.9533350467681885,0.0889599127002311,0.07150968109803255,0.05289984511213567,0.5915822420138845,0.5880038058873218,0.05171937432094171,2.5229572057724,2.120218276977539,1.3015238437428844,1.0176115468439069,0.8384000633493534,0.5440536986603285
InternVL3-2B-Instruct-Q5_K_M,15,data/test/sonar_reasoning_pro_gold_standard_dataset.json,answer_evaluation_results_topk15_InternVL3-2B-Instruct-Q5_K_M_20251127_124936.json,20251127_124936,7,2025-11-27T12:49:44.130960,0.8020857061658587,0.8369306325912476,0.13052735306624763,0.5622323155403137,0.937538743019104,0.06734382841171957,0.051098754596674865,0.031096377660590008,0.5606165064281429,0.5606813075366007,0.07316050743970755,1.8597197192055839,1.5607960224151611,0.6972851115271302,0.7777015367696655,0.6264855687606112,0.5092223829183022
InternVL3-2B-Instruct-Q5_K_M,20,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk20_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-27T00:29:04.274095,0.8319559156894684,0.8520931005477905,0.0940383554064882,0.6453437209129333,0.9732393026351929,0.10493495347759914,0.1100352372788233,0.04901413526694795,0.58972982684274,0.6009627562660086,0.062464351265941916,3.334960198402405,3.0579276084899902,1.071796176253806,1.2812805341333966,1.0822734302571946,0.5411818003718891
InternVL3-2B-Instruct-Q5_K_M,20,data/test/sonar_reasoning_pro_gold_standard_dataset.json,answer_evaluation_results_topk20_InternVL3-2B-Instruct-Q5_K_M_20251127_132951.json,20251127_132951,7,2025-11-27T13:29:59.112178,0.8000039713723319,0.8297133445739746,0.10870399206282712,0.6365770697593689,0.9657494425773621,0.08211472804922508,0.07594728986384686,0.04655181542581004,0.5236383455272186,0.5680351265647474,0.07791923930987031,2.77438793863569,2.7425267696380615,0.7601441501135402,1.3200689213940817,1.0711610486891385,0.5017275106218659
InternVL3-2B-Instruct-Q5_K_M,25,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk25_InternVL3-2B-Instruct-Q5_K_M.json,unknown,10,2025-11-27T01:12:48.040186,0.8297055900096894,0.8520090281963348,0.10004667301535092,0.6414850354194641,0.9737032651901245,0.0967411922416134,0.07712238658296092,0.07192249655234903,0.558882604434926,0.5698555461476863,0.13112201988524114,3.8938884973526,3.1744892597198486,1.7352504063700271,1.2466684295712929,0.9260729628004096,0.5285693750068376
InternVL3-2B-Instruct-Q5_K_M,25,data/test/sonar_reasoning_pro_gold_standard_dataset.json,answer_evaluation_results_topk25_InternVL3-2B-Instruct-Q5_K_M_20251127_141407.json,20251127_141407,7,2025-11-27T14:14:15.029773,0.8125027673585075,0.8826488256454468,0.13721144637382052,0.6009716987609863,0.9669244885444641,0.09165423323264114,0.08783511759368846,0.03258964272926974,0.5400484430305972,0.5210031332343518,0.11916945897497563,2.836992025375366,2.9971227645874023,0.7169028668061185,0.8350982610186256,0.8264758497316637,0.5145119098223745
InternVL3_5-2B-Q6_K,5,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk5_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-26T22:28:47.389161,0.7916868329048157,0.828872799873352,0.09885239658068222,0.6169489026069641,0.8961231708526611,0.06080015274878189,0.0451864012692285,0.05155829690643417,0.5484906471071879,0.5353364963489531,0.13217925519699936,38.92308738231659,7.046258211135864,49.10947057356344,7.753296504857152,1.8068975854991582,0.4994619731187172
InternVL3_5-2B-Q6_K,10,data/test/sonar_gold_standard_dataset.json,answer_evaluation_results_topk10_InternVL3_5-2B-Q6_K.json,unknown,10,2025-11-26T23:07:47.139850,0.8358109712600708,0.8451886773109436,0.07886955459647182,0.7230041027069092,0.9633227586746216,0.08077969790844619,0.0755196924628881,0.05185755161937002,0.5570023777267508,0.5776664479187699,0.0889156973858235,31.566367173194884,8.334790706634521,46.336700732440015,4.879275996240711,1.294861546849515,0.5256590111945875
